300,9.08048350938535e+23,4.67798304273104e+24,1.77656484185321e-21,3.07646246607051e-23
302,9.06591260360479e+23,4.6892904360171e+24,1.80945423406283e-21,3.05940266163818e-23
304,9.0514424508174e+23,4.70053178367213e+24,1.84258587112687e-21,3.04245052538504e-23
306,9.0370718322768e+23,4.71170836443518e+24,1.87595737273291e-21,3.02560650175115e-23
308,9.02279954908399e+23,4.72282142230218e+24,1.90956636115969e-21,3.00887096166476e-23
310,9.00862442172994e+23,4.73387216763576e+24,1.9434104618595e-21,2.99224420668769e-23
312,8.99454528965468e+23,4.74486177823616e+24,1.97748730401891e-21,2.97572647294204e-23
314,8.98421251855248e+23,4.75486836831509e+24,2.00838653408601e-21,2.95170870092549e-23
316,8.97020096487484e+23,4.76578714864436e+24,2.04295702812725e-21,2.93555171479484e-23
318,8.95628494490593e+23,4.77664678020652e+24,2.0777537939024e-21,2.91949998752559e-23
320,8.94246328885495e+23,4.78744835754745e+24,2.1127744691164e-21,2.90355367022303e-23
322,8.92873484650159e+23,4.79819294639407e+24,2.14801669789756e-21,2.88771285990209e-23
324,8.91509848673965e+23,4.8088815845527e+24,2.18347813123808e-21,2.87197760255506e-23
326,8.90155309713915e+23,4.81951528277452e+24,2.21915642741396e-21,2.85634789605822e-23
328,8.87523361510944e+23,4.83383383991481e+24,2.26596273260203e-21,2.84827949751207e-23
330,8.86202304839114e+23,4.84434462671018e+24,2.30218531982038e-21,2.83271528044894e-23
332,8.84889688800764e+23,4.85480377546019e+24,2.33861821783398e-21,2.81725960585103e-23
334,8.83585418452747e+23,4.86521218725973e+24,2.37525911042144e-21,2.80191221668261e-23
336,8.82289400215678e+23,4.87557074026686e+24,2.41210569035946e-21,2.78667282309374e-23
338,8.81001541849595e+23,4.88588029040165e+24,2.44915565975445e-21,2.77154110443683e-23
340,8.79721752429888e+23,4.89614167202355e+24,2.48640673036317e-21,2.75651671118193e-23
342,8.79011754180158e+23,4.90648656733834e+24,2.51962278397482e-21,2.7360536277924e-23
344,8.7773949370758e+23,4.91665043354264e+24,2.55720403893966e-21,2.7213210506689e-23
346,8.7647523619875e+23,4.92676830787325e+24,2.5949790521878e-21,2.70669292344912e-23
348,8.75218890042205e+23,4.93684095119868e+24,2.63294558509575e-21,2.69216884505446e-23
350,8.73970365022752e+23,4.94686910570049e+24,2.67110141015587e-21,2.67774839212421e-23
352,8.7272957229379e+23,4.95685349542764e+24,2.70944431120888e-21,2.66343112046775e-23
354,8.71496424350115e+23,4.96679482683422e+24,2.74797208366835e-21,2.64921656644422e-23
356,8.68991558483955e+23,4.98286639480074e+24,2.8114142468903e-21,2.64517202612365e-23
358,8.6778253873485e+23,4.9927232248595e+24,2.85054183208519e-21,2.63102977088156e-23
360,8.66580777256431e+23,5.00253912071637e+24,2.88984701991568e-21,2.61699092865155e-23
362,8.65386195230981e+23,5.01231471994166e+24,2.9293276300766e-21,2.60305492503862e-23
364,8.64198714929945e+23,5.02205064503438e+24,2.96898149529471e-21,2.5892211732983e-23
366,8.63018259696437e+23,5.0317475038579e+24,3.00880646148472e-21,2.57548907530131e-23
368,8.61844753927932e+23,5.04140589006255e+24,3.04880038789831e-21,2.56185802244948e-23
370,8.61108487208581e+23,5.05109117279205e+24,3.07997246657648e-21,2.54153183712102e-23
372,8.59944659712542e+23,5.06063812096486e+24,3.12019164869035e-21,2.52814338972947e-23
374,8.58787642110777e+23,5.07014879854571e+24,3.1605736653892e-21,2.51485391407362e-23
376,8.57637360297733e+23,5.07962373732692e+24,3.2011164436526e-21,2.50166276349884e-23
378,8.56493741234559e+23,5.08906345699705e+24,3.24181792414919e-21,2.4885692850382e-23
380,8.55356712930233e+23,5.09846846548204e+24,3.28267606133157e-21,2.47557282006761e-23
382,8.5422620442284e+23,5.10783925927787e+24,3.32368882353122e-21,2.46267270492712e-23
384,8.53102145761478e+23,5.11717632377122e+24,3.36485419304342e-21,2.44986827150861e-23
386,8.51247908095514e+23,5.12568794126886e+24,3.41494308032559e-21,2.45213866362084e-23
388,8.50143694405941e+23,5.13501381335741e+24,3.45655178242546e-21,2.43944222229078e-23
390,8.49045581749384e+23,5.14430654168975e+24,3.49830737762074e-21,2.42683975512948e-23
392,8.47953508077983e+23,5.15356658610061e+24,3.54020788661017e-21,2.41433059071175e-23
394,8.46867412139669e+23,5.16279439639059e+24,3.58225134459915e-21,2.40191405515171e-23
396,8.4578723346705e+23,5.17199041260249e+24,3.62443580135082e-21,2.38958947254535e-23
398,8.4471291236658e+23,5.18115506528803e+24,3.66675932122582e-21,2.37735616538918e-23
400,8.4348844518271e+23,5.19312537478641e+24,3.69887688594689e-21,2.36270933899569e-23
402,8.42429482492823e+23,5.20211750789452e+24,3.74118812202151e-21,2.35061412263868e-23
404,8.41376186677487e+23,5.21108079266181e+24,3.78363148833352e-21,2.33860984390942e-23
406,8.40328500166486e+23,5.22001560304617e+24,3.82620514705739e-21,2.32669577127235e-23
408,8.39286366159877e+23,5.22892230518914e+24,3.86890727476157e-21,2.31487117490257e-23
410,8.38249728615938e+23,5.23780125762634e+24,3.91173606241453e-21,2.30313532693636e-23
412,8.37218532239593e+23,5.24665281149004e+24,3.95468971538407e-21,2.29148750170547e-23
414,8.36192722470933e+23,5.25547731070648e+24,3.9977664534336e-21,2.27992697595778e-23
416,8.36284181189909e+23,5.25114421145302e+24,4.01049751982072e-21,2.26474146611734e-23
418,8.35263324321087e+23,5.26002333143327e+24,4.053756953757e-21,2.253486308094e-23
420,8.34247701373469e+23,5.26887503611699e+24,4.09713605282632e-21,2.24231335474882e-23
422,8.33237261462176e+23,5.27769966589948e+24,4.14063308296743e-21,2.23122196384816e-23
424,8.32231954349468e+23,5.2864975543679e+24,4.18424632430187e-21,2.22021149464705e-23
426,8.31231730435666e+23,5.29526902847763e+24,4.22797407111322e-21,2.20928130809217e-23
428,8.30236540750341e+23,5.3040144087228e+24,4.27181463182446e-21,2.19843076701217e-23
430,8.29246336943114e+23,5.31273400930515e+24,4.31576632897857e-21,2.18765923629925e-23
432,8.27074585865978e+23,5.33302484244763e+24,4.39773801784717e-21,2.17093029823774e-23
434,8.26095767868321e+23,5.3416385802307e+24,4.44216420671481e-21,2.16026991175346e-23
436,8.25121837544864e+23,5.35022813802154e+24,4.48669592940236e-21,2.14968802696156e-23
438,8.24152747454524e+23,5.35879379473381e+24,4.53133155357855e-21,2.13918398669511e-23
440,8.23188450776464e+23,5.3673358239899e+24,4.5760694611122e-21,2.12875713738396e-23
442,8.22228901300958e+23,5.37585449425395e+24,4.62090804802495e-21,2.11840682915496e-23
444,8.2127405342022e+23,5.38435006896241e+24,4.66584572444731e-21,2.10813241592543e-23
446,8.20323862119509e+23,5.39282280664993e+24,4.710880914568e-21,2.09793325548957e-23
448,8.20488349086121e+23,5.38857489909051e+24,4.71840139451349e-21,2.09011343917955e-23
450,8.19541305706565e+23,5.39706688806294e+24,4.7634448219864e-21,2.0801321688661e-23
452,8.18598844468168e+23,5.40553590226989e+24,4.80858180497615e-21,2.07022250051744e-23
454,8.17660921836917e+23,5.41398219755505e+24,4.85381082799306e-21,2.06038384934961e-23
